,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_NATURALEZA,COLE_BILINGUE,COLE_CARACTER,COLE_AREA_UBICACION,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,CALIFICACION
15073,0,2,3,2,1,1,1,1,0,1,0,0,0,1,2,2,0,0,2,2,1,56,62,59,63,61,300,GANO
15074,0,2,2,2,1,1,1,1,1,1,0,0,0,1,0,2,0,0,1,1,5,68,55,65,70,76,327,GANO
15075,0,2,2,3,1,1,1,1,1,1,1,0,0,1,0,2,0,0,2,2,1,55,61,63,57,65,297,GANO
15076,0,2,2,3,1,0,0,0,0,0,0,0,0,1,4,2,0,0,1,2,1,33,30,28,43,54,175,REGULAR
15077,0,3,2,3,1,1,1,1,1,1,0,0,1,1,1,2,0,0,2,2,5,75,74,70,67,73,358,GANO
15078,0,2,4,5,1,0,1,1,1,0,0,0,1,1,3,2,0,0,3,2,5,75,69,67,70,68,350,GANO
15079,0,3,2,3,1,1,1,1,1,0,1,0,2,1,1,2,0,0,3,2,5,64,55,53,54,61,284,GANO
15081,1,5,2,3,1,1,1,1,1,0,1,1,1,1,2,3,0,0,2,2,1,52,57,52,47,52,260,GANO
15082,0,3,2,3,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,2,1,40,41,45,36,37,201,REGULAR
15084,0,3,2,3,1,1,1,1,1,1,0,1,1,1,0,2,0,0,1,2,1,68,66,60,69,80,334,GANO
15085,0,4,2,3,1,1,1,1,1,1,1,0,0,2,0,3,0,0,3,2,1,59,65,54,55,55,290,GANO
15087,1,4,2,2,1,1,0,0,1,1,0,0,3,0,1,2,0,0,1,2,5,56,50,51,66,47,275,GANO
15089,0,1,2,2,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,2,3,44,47,42,43,38,218,REGULAR
15091,0,2,2,3,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,2,5,70,69,60,68,67,334,GANO
15092,0,3,2,3,1,1,1,1,1,1,1,0,2,1,3,2,0,0,3,2,2,60,60,56,57,53,289,GANO
15093,0,4,1,2,1,1,1,1,1,1,0,1,3,1,1,2,0,0,1,1,5,62,61,61,60,69,308,GANO
15094,0,3,5,6,1,1,1,1,1,1,1,1,1,1,4,3,0,0,1,2,1,50,41,40,42,55,221,REGULAR
15095,0,3,2,2,1,1,1,1,1,1,0,0,1,1,1,3,0,0,1,2,5,68,74,71,69,80,356,GANO
15096,0,3,2,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,3,1,5,48,56,51,51,54,258,GANO
15098,0,2,3,3,1,1,1,1,0,0,1,0,1,1,0,0,0,0,3,1,5,68,48,53,66,57,293,GANO
15099,0,1,1,2,1,1,1,0,0,0,0,1,0,2,1,3,0,0,3,1,5,79,72,76,80,72,382,GANO
15100,0,4,2,3,1,1,1,1,1,1,0,1,2,2,4,2,0,1,1,2,5,74,71,67,66,86,354,GANO
15102,0,2,1,3,1,0,0,1,1,0,1,0,0,0,2,3,0,0,1,2,4,46,47,44,33,33,209,REGULAR
15104,0,2,1,2,1,0,1,1,1,0,0,0,2,0,2,3,0,0,1,2,1,71,72,62,66,59,335,GANO
15105,0,4,2,3,1,1,1,1,1,1,0,0,2,2,2,3,0,0,1,2,1,57,60,56,56,68,290,GANO
15106,0,6,3,3,1,0,1,1,0,0,0,1,3,2,1,3,0,0,2,2,1,55,57,52,52,63,273,GANO
15107,0,2,1,2,1,1,1,1,1,0,1,0,0,2,4,3,0,0,1,2,5,57,49,47,47,100,269,GANO
15108,0,5,2,3,1,1,1,1,1,1,0,1,1,1,0,2,0,1,1,1,5,66,66,63,66,78,331,GANO
15111,0,5,2,5,1,1,1,1,1,1,1,1,2,2,0,2,0,1,1,2,5,66,65,59,53,75,309,GANO
15113,0,1,3,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,62,41,42,53,47,247,REGULAR
15114,0,3,1,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,3,2,4,44,36,37,28,45,185,REGULAR
15115,0,0,1,3,1,1,1,1,1,0,0,0,0,1,4,1,0,0,1,2,4,43,30,31,33,32,170,REGULAR
15116,0,3,2,2,1,0,0,1,0,0,0,1,0,0,1,3,0,0,1,2,5,62,49,43,38,56,243,REGULAR
15117,0,2,1,2,1,1,1,1,1,0,1,1,0,1,4,2,0,0,2,2,5,56,54,48,35,46,240,REGULAR
15118,0,3,3,4,1,1,1,1,1,0,0,1,1,1,1,2,0,0,3,2,1,60,55,50,51,52,269,GANO
15119,0,2,2,2,1,1,1,1,0,0,1,0,1,1,4,4,0,0,3,2,1,57,46,52,30,50,233,REGULAR
15121,0,3,2,3,1,1,1,1,1,1,1,1,1,2,2,2,0,0,3,2,1,67,72,65,69,64,340,GANO
15123,0,3,2,2,1,1,1,1,1,1,0,0,1,2,1,2,0,1,1,2,5,69,70,65,64,64,334,GANO
15125,0,3,2,2,1,1,1,1,1,1,1,1,0,1,4,0,0,0,1,2,5,68,77,74,66,78,359,GANO
15127,0,2,1,3,1,1,1,1,1,1,1,0,0,1,4,2,0,0,1,2,1,67,71,71,73,77,355,GANO
15128,0,1,3,2,1,0,1,1,0,1,1,0,1,1,0,3,0,0,3,1,4,52,27,38,43,45,202,REGULAR
