,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_NATURALEZA,COLE_BILINGUE,COLE_CARACTER,COLE_AREA_UBICACION,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,CALIFICACION
6932,0,4,2,3,1,1,1,1,1,1,1,1,3,1,4,3,0,1,1,2,5,70,68,70,71,79,352,GANO
6933,0,2,3,3,1,0,1,1,1,1,1,0,2,1,0,2,0,0,1,2,4,37,33,41,27,47,177,REGULAR
6934,0,2,1,2,1,0,0,0,0,0,1,0,0,1,0,2,0,0,1,2,4,48,46,47,41,42,226,REGULAR
6935,0,5,2,2,1,1,1,1,1,1,0,1,0,2,4,3,0,0,1,2,5,71,62,59,66,77,327,GANO
6937,0,4,2,3,1,1,0,1,0,0,1,0,0,0,4,0,0,0,1,2,1,49,42,47,35,47,218,REGULAR
6938,0,4,2,3,1,1,1,1,0,1,1,0,1,2,3,3,0,0,1,2,5,62,59,53,59,72,297,GANO
6941,0,3,1,2,1,1,1,1,1,0,1,1,3,2,1,2,0,0,1,2,4,45,52,43,45,46,231,REGULAR
6942,0,2,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,4,58,43,52,43,39,241,REGULAR
6944,0,2,3,3,1,1,1,1,0,0,0,0,0,1,4,1,0,0,3,2,1,57,45,41,46,51,238,REGULAR
6945,0,3,1,2,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,2,1,58,52,49,45,55,257,GANO
6946,0,0,4,6,1,1,0,1,1,0,0,0,2,1,4,2,0,0,1,2,1,37,42,40,32,35,188,REGULAR
6949,0,3,3,6,1,1,1,1,1,1,1,0,0,0,1,2,0,0,1,2,5,57,52,50,53,49,263,GANO
6950,0,3,1,3,1,1,1,1,0,1,0,1,0,2,4,3,0,0,3,2,5,73,78,73,74,75,373,GANO
6951,0,2,1,3,1,1,0,1,0,1,0,1,0,1,4,3,0,0,2,2,1,51,54,52,31,57,239,REGULAR
6953,0,6,2,4,1,1,1,1,1,1,1,1,2,1,0,1,0,1,1,2,5,71,80,73,70,84,372,GANO
6955,0,3,2,4,1,1,1,1,1,0,0,0,1,1,0,3,0,0,1,2,3,65,61,61,69,60,318,GANO
6957,0,3,3,4,1,1,1,1,0,0,1,0,2,0,0,3,0,0,2,2,1,64,55,64,62,70,310,GANO
6958,0,5,2,3,1,1,1,1,1,1,1,1,2,1,3,3,0,0,1,2,5,68,66,74,68,81,350,GANO
6962,0,5,1,2,1,1,1,1,1,1,0,1,0,1,0,3,0,0,1,2,5,73,82,77,100,83,415,GANO
6963,0,3,1,2,1,1,1,1,1,1,0,1,3,1,0,3,0,0,1,1,5,55,51,42,47,72,253,GANO
6966,0,6,1,2,1,0,1,1,1,0,1,0,0,0,3,2,0,0,1,2,1,68,65,65,75,84,347,GANO
6967,0,3,2,2,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,2,1,47,51,48,56,38,248,REGULAR
6969,0,1,3,5,1,1,1,1,0,0,1,1,2,1,3,0,0,0,1,2,2,55,36,39,36,58,214,REGULAR
6970,0,1,2,2,1,1,1,1,0,1,1,1,0,1,4,2,0,0,1,2,1,65,68,61,57,75,318,GANO
6972,0,3,3,4,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,2,1,45,45,37,29,50,199,REGULAR
6973,0,2,2,2,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,2,4,33,35,41,33,30,175,REGULAR
6975,0,3,2,3,1,1,1,1,1,0,1,1,2,1,0,2,0,0,2,2,1,58,56,50,42,57,260,GANO
6977,0,4,4,5,1,1,1,1,0,1,1,0,1,2,4,3,0,0,1,2,1,68,70,71,62,70,340,GANO
6978,0,3,2,5,1,1,1,1,1,1,1,0,1,1,4,0,0,0,1,2,1,51,49,49,43,52,242,REGULAR
6981,0,3,3,3,1,1,1,1,0,1,1,1,2,0,0,2,0,0,1,2,1,70,57,63,69,83,331,GANO
6984,0,4,2,3,1,1,1,1,1,1,0,0,2,1,2,3,0,0,1,2,1,80,81,76,74,79,389,GANO
6986,0,4,1,2,1,1,1,1,1,0,0,0,3,2,4,1,0,0,1,2,5,75,73,74,69,77,365,GANO
6987,0,1,2,2,1,1,0,1,1,1,1,0,0,1,0,1,0,0,3,1,5,71,68,68,54,69,328,GANO
6988,0,2,3,3,1,1,1,1,1,0,0,1,3,2,4,1,0,0,2,2,1,42,35,35,35,31,182,REGULAR
6989,0,3,2,3,1,1,1,1,1,0,0,0,0,1,4,3,0,0,3,2,1,46,50,33,39,47,212,REGULAR
6990,0,2,2,1,1,1,0,1,0,0,0,1,0,1,4,4,1,0,1,2,3,36,54,44,49,55,232,REGULAR
6992,0,3,2,3,1,1,1,1,0,0,1,1,2,1,2,3,0,0,1,2,1,65,71,62,58,80,326,GANO
6993,0,2,3,4,1,1,1,1,0,0,0,1,0,1,4,3,0,0,3,2,2,62,65,62,59,58,308,GANO
6994,0,3,1,2,1,1,1,1,1,1,0,0,0,2,4,3,0,0,1,2,1,38,31,39,25,52,173,REGULAR
6997,0,3,2,3,1,1,1,1,0,1,0,1,3,2,2,3,0,0,1,2,1,68,69,57,60,56,315,GANO
6998,0,2,2,2,1,0,0,0,0,0,1,0,2,1,0,1,0,0,1,2,1,72,54,53,63,46,297,GANO
6999,0,3,1,2,1,1,1,1,1,0,0,1,2,1,1,2,0,0,1,1,5,65,70,71,72,75,350,GANO
7002,0,4,2,4,1,0,1,1,1,1,0,1,3,1,2,3,0,0,3,2,5,62,56,55,57,68,292,GANO
7003,0,6,2,3,1,1,1,1,1,1,0,1,3,1,2,3,0,1,1,1,5,67,81,70,73,84,368,GANO
7004,0,3,1,2,1,1,1,1,1,1,1,1,0,1,1,3,0,0,1,2,1,76,69,64,68,76,349,GANO
7005,0,3,2,3,1,1,1,1,1,1,1,0,3,1,4,1,0,0,1,2,1,53,49,49,37,51,237,REGULAR
7006,0,1,2,2,1,1,1,1,0,0,1,0,0,2,1,2,0,0,1,2,1,52,50,40,45,42,232,REGULAR
7007,0,2,2,2,1,1,0,1,0,0,0,0,0,1,1,2,1,0,1,2,3,56,50,53,39,49,247,REGULAR
7008,0,3,2,2,1,1,1,1,0,1,0,1,1,1,0,3,0,0,1,2,1,72,70,57,59,71,325,GANO
7009,0,2,3,2,1,0,0,1,0,0,1,0,3,0,4,3,0,0,1,2,1,62,59,50,42,66,271,GANO
7010,0,4,1,2,1,0,1,1,0,0,0,0,0,1,0,2,0,0,3,2,1,35,46,44,38,48,207,REGULAR
7012,0,2,2,2,1,0,1,1,1,0,0,0,2,1,1,3,0,0,2,2,1,76,71,65,70,80,356,GANO
7013,0,3,4,5,1,1,1,1,1,1,1,1,0,1,4,1,0,0,3,2,1,47,46,44,53,46,237,REGULAR
7014,0,3,4,6,1,1,1,1,1,0,1,1,0,1,4,2,0,0,2,2,5,70,69,75,58,68,340,GANO
7015,0,4,3,4,1,1,1,1,1,1,0,1,1,1,0,3,0,0,1,2,5,73,61,58,64,76,325,GANO
7016,0,3,1,1,1,1,1,0,0,0,0,0,0,1,4,3,0,0,2,2,5,62,65,61,64,69,317,GANO
7017,0,1,2,2,0,0,0,0,0,0,0,0,0,1,2,4,0,0,1,2,2,53,51,54,49,52,259,GANO
7018,0,5,1,2,1,1,1,1,1,1,0,1,0,1,1,2,0,0,1,2,1,61,67,71,58,73,325,GANO
7019,0,2,3,3,1,1,0,1,1,0,1,0,0,1,0,2,0,0,1,2,1,49,47,43,52,51,240,REGULAR
7021,0,2,3,3,1,1,0,1,1,0,1,0,1,2,0,2,0,0,1,2,1,55,65,61,57,57,297,GANO
7022,0,4,4,5,1,1,1,1,1,1,0,1,2,2,4,3,0,0,1,2,4,65,55,44,61,56,281,GANO
7023,0,6,3,6,1,1,1,1,1,1,0,1,3,2,0,2,0,1,1,2,5,65,60,67,68,80,331,GANO
7024,0,4,2,2,1,1,1,1,1,1,0,1,0,1,3,3,0,0,1,2,5,67,68,60,61,76,325,GANO
7025,0,2,2,3,1,0,1,0,1,0,0,0,2,1,1,2,0,0,2,2,1,70,79,78,74,75,376,GANO
7026,0,6,1,2,1,1,1,1,1,1,0,1,2,2,1,3,0,1,1,1,5,65,69,57,56,81,316,GANO
7028,0,2,2,2,1,1,0,0,0,0,1,0,0,0,0,3,0,0,1,2,1,48,47,40,26,35,199,REGULAR
7029,0,1,3,2,1,1,1,1,0,0,0,0,0,1,1,2,0,0,1,2,1,39,46,38,37,35,198,REGULAR
7030,0,2,4,3,0,1,0,0,0,0,0,0,0,1,0,2,0,0,3,2,4,43,43,44,40,53,217,REGULAR
7031,0,3,3,4,1,1,1,1,1,1,0,1,1,1,1,2,0,0,1,2,1,69,60,52,55,65,297,GANO
7033,0,3,3,6,1,1,1,1,1,1,1,1,1,0,1,3,0,0,1,2,1,53,59,57,49,55,273,GANO
7034,0,3,2,2,1,1,1,1,1,0,1,1,0,1,4,3,0,0,2,2,1,62,65,63,50,58,299,GANO
7035,0,3,2,4,1,1,1,1,0,0,0,1,2,1,1,3,0,0,2,2,1,65,55,56,60,61,296,GANO
7036,0,3,1,2,1,0,1,1,1,0,1,0,2,1,4,2,0,0,1,2,1,58,56,54,51,62,277,GANO
7037,0,3,2,4,1,1,1,1,0,0,1,1,2,1,4,3,0,0,1,2,1,44,40,38,33,51,198,REGULAR
7038,0,3,1,3,1,1,1,1,1,0,1,1,0,1,0,3,0,0,2,2,1,55,54,53,53,48,267,GANO
7039,0,3,1,2,1,1,1,0,1,0,0,0,0,0,3,3,0,0,2,2,1,47,64,63,51,61,283,GANO
7040,0,3,2,3,1,1,1,1,1,1,0,0,0,0,1,3,0,0,3,2,5,63,78,62,69,80,345,GANO
7041,0,2,3,4,1,1,1,1,0,1,0,0,0,0,0,2,0,0,1,2,1,63,64,63,67,74,325,GANO
7042,0,2,2,2,1,1,1,1,1,1,0,0,0,1,0,2,0,0,2,2,5,60,66,55,52,65,294,GANO
7043,0,3,2,3,1,0,1,1,1,0,0,1,0,1,4,1,0,0,1,2,1,66,58,57,58,69,302,GANO
7045,0,3,1,2,1,1,1,1,1,0,0,0,0,1,4,3,0,0,2,2,1,44,40,32,41,46,199,REGULAR
7046,0,3,2,2,1,1,1,0,1,1,1,1,1,2,4,3,0,0,3,1,4,35,32,38,35,44,178,REGULAR
7047,0,6,1,2,1,1,1,1,1,0,0,1,2,2,0,3,0,1,1,1,5,51,52,49,41,73,251,GANO
7048,0,3,3,4,1,1,0,1,1,1,0,1,1,1,1,2,0,0,1,2,1,45,72,67,64,59,309,GANO
7049,0,2,3,4,1,1,1,1,1,1,1,1,3,1,4,1,0,0,1,2,4,55,56,51,53,52,268,GANO
7051,0,3,5,6,1,1,1,1,1,1,0,1,2,1,0,2,0,0,1,2,1,63,62,57,46,65,288,GANO
7052,0,5,2,3,1,1,1,1,1,1,0,1,2,2,1,2,0,0,1,2,1,72,79,72,67,82,366,GANO
7053,0,3,2,3,1,1,1,1,1,1,1,1,1,1,0,2,0,0,2,2,1,73,67,66,71,84,352,GANO
7054,0,2,3,3,1,1,1,1,1,1,1,1,1,0,2,2,0,0,2,2,1,62,59,55,68,75,310,GANO
7056,0,3,2,2,1,1,1,1,1,0,1,0,0,1,0,3,0,0,1,2,1,68,66,54,65,56,313,GANO
7057,0,4,3,3,1,1,1,1,1,1,0,0,1,0,0,2,0,1,1,2,5,61,66,58,51,86,305,GANO
7059,0,2,2,3,0,0,0,1,0,0,0,0,0,1,4,2,0,0,1,2,2,46,52,37,36,33,210,REGULAR
7060,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,2,2,28,49,41,24,39,179,REGULAR
7061,0,3,3,5,1,1,1,1,1,0,1,1,0,1,0,3,0,0,1,2,2,42,43,37,28,32,185,REGULAR
7062,0,4,2,3,1,1,1,1,1,1,0,1,3,1,1,2,0,0,3,2,5,68,74,73,71,77,360,GANO
7063,0,3,1,1,1,1,1,1,1,0,0,1,0,1,0,3,0,0,1,2,1,57,62,69,56,59,304,GANO
7065,0,3,2,3,1,1,1,1,1,1,1,1,1,1,0,2,0,0,2,2,5,57,53,49,51,57,264,GANO
7066,0,3,1,2,1,1,0,1,1,0,0,0,2,2,3,3,0,0,3,2,1,55,57,56,60,49,282,GANO
7067,0,4,2,4,1,1,1,0,0,0,0,0,2,1,2,3,0,0,3,2,1,59,45,42,48,58,246,REGULAR
7069,0,5,2,3,1,1,1,1,1,1,0,1,2,2,3,3,0,0,1,1,5,61,63,70,58,77,320,GANO
7070,0,3,3,4,1,1,0,0,0,1,0,0,2,1,1,2,0,0,1,2,1,62,44,54,56,52,269,GANO
7071,0,3,1,2,1,1,1,1,1,0,0,0,2,1,1,3,0,0,1,2,1,65,64,64,69,60,325,GANO
7072,0,2,2,3,1,1,1,1,1,0,1,0,1,1,2,2,0,0,2,2,1,67,66,64,61,77,327,GANO
7073,0,0,2,3,1,1,1,1,1,0,1,1,3,1,4,3,0,0,0,2,1,50,30,39,38,35,195,REGULAR
7076,0,4,3,5,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,2,5,50,42,42,34,55,215,REGULAR
7077,0,2,2,2,0,1,0,1,0,0,0,0,1,1,4,2,0,0,1,2,4,48,35,46,43,51,218,REGULAR
7078,0,3,3,4,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,2,1,66,56,57,63,72,307,GANO
7079,0,2,2,3,0,1,0,1,1,0,0,0,0,1,1,2,0,0,1,2,4,41,34,36,32,35,178,REGULAR
7080,0,2,2,2,1,0,1,1,1,1,1,0,2,1,0,3,0,0,2,2,1,64,52,62,52,66,291,GANO
7081,0,4,4,5,1,1,1,1,1,1,1,1,0,1,4,2,0,0,1,2,1,43,32,46,28,37,186,REGULAR
7084,0,3,2,6,1,1,1,1,1,1,1,1,2,2,1,2,0,0,1,2,1,54,55,58,53,69,280,GANO
7086,0,2,3,4,1,1,1,1,1,1,0,0,1,0,1,2,0,0,1,2,5,71,61,64,69,82,337,GANO
7087,0,2,2,2,1,1,1,1,1,0,1,0,0,1,4,3,0,0,1,2,3,46,30,33,43,51,195,REGULAR
7089,0,4,2,4,1,1,1,1,1,1,0,1,1,1,4,1,0,0,1,2,1,52,46,45,42,48,232,REGULAR
7090,0,5,2,4,1,1,1,1,1,1,0,0,2,2,0,2,0,0,1,2,5,67,57,62,54,71,304,GANO
7091,0,3,1,2,1,1,1,1,1,0,0,1,3,1,0,2,0,1,1,2,5,76,72,68,69,79,359,GANO
7092,0,2,2,1,1,1,1,1,1,0,0,0,1,0,2,1,0,0,2,2,5,58,61,52,46,65,275,GANO
7094,0,3,2,3,1,0,1,1,1,1,0,1,2,1,1,2,0,1,1,2,5,68,78,78,78,85,381,GANO
7095,0,3,1,2,1,0,1,1,0,0,0,0,2,0,4,2,0,0,1,2,5,57,66,63,64,69,315,GANO
7096,0,3,2,3,1,0,1,1,1,1,0,0,2,0,2,3,0,0,3,2,1,68,68,65,79,78,353,GANO
7097,0,2,2,2,1,1,1,1,1,1,0,0,0,2,0,2,0,0,3,2,1,63,57,60,51,65,292,GANO
7098,0,2,2,4,1,1,1,1,1,1,0,0,1,1,2,2,0,0,3,2,1,69,67,60,59,65,319,GANO
7099,0,2,3,3,1,0,1,1,1,1,0,0,3,0,4,3,0,0,1,2,1,59,61,63,63,73,312,GANO
7100,0,2,1,2,1,1,1,1,1,0,0,1,0,2,4,1,0,0,1,2,1,53,53,43,47,79,257,GANO
7101,0,5,2,3,1,1,1,1,1,0,1,0,0,2,4,2,0,0,2,2,1,51,49,43,34,47,222,REGULAR
7102,0,3,2,2,1,1,1,1,0,1,0,1,0,1,1,3,0,0,0,2,1,56,66,48,52,74,285,GANO
7103,0,3,2,3,1,1,1,1,1,0,1,0,1,1,1,3,0,0,2,2,1,65,45,57,50,50,270,GANO
7104,0,3,2,3,1,1,1,1,0,1,0,0,0,1,4,2,0,0,1,2,1,64,66,63,56,62,311,GANO
7106,0,2,2,4,1,0,1,1,1,0,0,0,1,1,4,3,0,0,1,2,5,67,66,60,63,73,323,GANO
7107,0,1,1,1,1,1,0,1,0,0,0,0,0,1,4,2,0,0,3,2,4,56,49,51,42,46,246,REGULAR
7111,0,2,1,1,1,0,0,0,1,0,0,0,0,1,1,2,0,0,1,2,4,60,39,43,50,40,237,REGULAR
7112,0,3,2,4,1,1,1,1,1,1,0,0,2,1,0,3,0,0,2,2,1,63,59,57,54,53,289,GANO
7113,0,2,2,3,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,2,2,59,63,55,56,47,287,GANO
7114,0,2,3,4,1,1,1,1,1,0,0,1,0,1,4,3,0,0,1,2,4,60,58,50,57,64,284,GANO
7116,0,1,1,2,1,1,1,1,1,0,0,0,0,2,4,0,0,0,1,2,1,37,39,31,29,28,168,REGULAR
7117,0,2,2,3,1,1,1,1,1,1,1,0,0,2,0,3,0,0,2,2,1,58,43,46,47,74,252,GANO
7118,0,3,2,2,1,1,0,1,0,1,0,0,1,0,3,3,0,0,1,2,5,70,68,66,62,75,336,GANO
7121,0,2,3,3,1,1,1,1,0,0,1,1,2,1,1,1,0,0,3,2,1,64,67,62,68,67,327,GANO
7124,0,6,3,4,1,1,1,1,1,1,0,1,1,2,4,1,0,0,1,2,5,60,67,74,74,77,347,GANO
7127,0,1,1,3,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,2,4,42,27,38,32,32,173,REGULAR
7128,0,2,3,4,1,1,1,1,0,1,0,1,1,1,0,2,0,0,2,2,5,61,68,60,58,74,313,GANO
7131,0,4,2,3,1,1,1,1,1,1,0,1,2,1,1,3,0,1,1,2,5,68,62,53,56,85,308,GANO
7132,0,6,2,3,1,1,1,1,1,1,0,0,3,1,0,3,0,0,1,2,5,64,58,60,64,100,322,GANO
7133,0,2,3,2,1,1,0,1,0,0,0,0,0,1,4,2,0,0,3,2,1,56,56,57,46,59,271,GANO
7134,0,2,2,3,1,1,0,0,1,0,1,0,1,1,4,0,0,0,3,2,1,60,54,45,52,49,262,GANO
7136,0,3,5,4,1,1,1,1,1,1,1,1,3,1,1,2,0,0,1,2,1,51,56,46,51,66,261,GANO
7138,0,3,3,2,1,1,0,1,1,0,0,0,1,1,1,2,0,0,1,2,1,60,53,57,49,47,271,GANO
7140,0,2,2,3,1,1,0,1,0,0,0,0,1,1,3,1,0,0,3,1,4,45,39,49,41,32,213,REGULAR
7141,0,4,1,2,1,1,1,1,1,1,0,1,2,1,4,3,0,0,1,2,1,72,71,71,71,76,358,GANO
7142,0,1,2,3,0,0,0,0,0,0,0,0,0,1,4,2,0,0,3,1,4,61,53,42,46,35,247,REGULAR
7143,0,2,2,3,1,1,1,1,1,0,0,0,0,1,4,2,0,0,2,2,5,61,60,56,56,65,294,GANO
7144,0,5,2,3,1,1,1,1,1,0,0,0,0,2,4,3,0,0,2,2,1,57,33,47,49,46,232,REGULAR
7145,0,1,2,3,1,0,1,1,0,0,0,0,1,0,4,2,0,0,1,2,2,45,25,38,26,41,170,REGULAR
7146,0,3,2,2,1,0,1,1,0,1,0,1,3,1,1,3,0,0,1,2,5,76,66,64,82,81,363,GANO
7147,0,3,2,2,1,1,1,0,1,1,0,0,1,0,1,2,0,0,1,2,1,68,67,65,59,70,326,GANO
7148,0,3,2,2,1,1,1,1,1,1,0,0,2,0,2,3,0,0,1,2,1,57,66,65,61,76,317,GANO
7149,0,3,1,2,0,0,1,1,1,0,1,0,0,2,0,2,0,0,1,2,5,43,39,39,29,46,191,REGULAR
7151,0,6,3,4,1,1,1,1,1,1,0,1,1,1,4,2,0,1,1,2,5,68,72,65,65,78,342,GANO
7152,0,3,4,4,1,1,1,0,1,0,0,0,2,1,4,3,0,0,1,2,5,59,63,61,62,62,307,GANO
7159,0,4,2,3,1,1,1,1,1,1,0,1,0,1,0,3,0,0,1,2,1,55,46,44,34,69,233,REGULAR
7160,0,2,2,1,1,1,1,1,1,0,0,0,1,0,4,2,0,0,1,2,1,55,66,60,38,49,272,GANO
7161,0,3,4,4,0,1,1,1,0,0,1,0,1,1,2,4,0,0,3,2,1,53,55,52,53,50,265,GANO
7163,0,0,4,3,1,1,1,1,1,1,1,1,1,1,4,3,0,0,1,2,1,48,50,44,36,60,228,REGULAR
7164,0,5,2,2,1,1,1,1,1,1,0,1,3,1,1,1,0,1,1,1,5,69,59,64,65,74,325,GANO
7166,0,2,3,2,1,1,1,1,0,0,0,0,0,1,3,2,0,0,1,2,1,56,58,53,51,49,270,GANO
7168,0,2,3,2,1,1,1,1,1,1,0,0,2,0,1,2,0,0,2,2,0,59,56,59,66,57,299,GANO
7169,0,4,2,3,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,2,5,58,60,61,59,64,299,GANO
7170,0,3,1,2,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,2,5,52,51,45,51,62,253,GANO
7171,0,4,2,2,1,1,1,1,1,1,0,1,2,1,4,3,0,0,1,1,5,55,54,47,47,54,255,GANO
7172,0,4,2,3,1,1,1,1,1,1,1,0,0,2,1,3,0,0,2,2,0,66,58,54,53,64,291,GANO
7173,0,3,3,4,1,1,0,1,1,0,1,1,3,2,0,2,0,0,1,2,1,31,49,49,34,45,205,REGULAR
7174,0,4,2,3,1,1,1,1,1,1,1,1,1,0,2,1,0,0,1,2,5,37,54,56,42,71,245,REGULAR
7175,0,2,3,3,1,1,1,1,0,0,1,0,2,1,1,2,0,0,2,2,5,60,60,65,62,61,308,GANO
7176,0,2,5,6,1,1,1,1,1,1,1,0,1,2,1,0,0,0,2,2,5,57,60,51,41,51,261,GANO
7177,0,2,2,3,0,1,0,1,0,1,0,0,2,2,4,0,0,0,1,2,3,54,54,53,54,41,264,GANO
7178,0,0,2,3,1,0,1,0,1,0,0,0,1,0,0,2,0,0,1,2,5,75,74,75,75,82,377,GANO
7179,0,3,2,2,1,1,1,1,1,1,1,0,1,0,4,3,0,0,1,2,5,57,66,52,56,59,289,GANO
7181,0,4,1,2,1,0,1,0,1,0,0,0,0,1,4,2,0,0,2,2,1,31,35,47,44,51,201,REGULAR
7183,0,2,2,4,1,1,1,1,1,0,0,0,1,1,4,3,0,0,1,2,1,51,43,44,55,45,240,REGULAR
7184,0,2,1,2,1,0,1,1,0,0,0,0,2,1,1,1,0,0,1,2,1,57,59,56,45,73,278,GANO
7185,0,2,3,6,1,1,1,0,1,1,0,1,2,1,0,2,0,0,1,2,1,50,58,55,45,45,257,GANO
7186,0,3,2,3,1,1,1,1,1,1,0,1,1,1,0,3,0,0,1,2,1,73,64,66,62,78,336,GANO
7188,0,1,3,5,1,1,1,1,1,1,0,1,2,2,1,3,0,0,1,2,5,67,69,65,56,72,324,GANO
7190,0,2,2,4,1,1,1,1,1,1,0,0,1,1,0,0,0,0,2,2,5,49,37,45,50,65,234,REGULAR
7191,0,2,1,2,1,0,1,1,1,0,1,0,0,1,1,3,0,0,1,2,5,75,53,68,64,62,324,GANO
7192,0,4,1,2,1,1,1,1,1,1,0,1,0,1,4,2,0,0,1,2,1,49,59,52,46,57,260,GANO
7193,0,3,4,3,1,1,1,1,1,1,0,0,0,2,4,2,1,0,1,2,3,60,53,44,41,45,246,REGULAR
7194,0,6,2,3,1,1,1,1,1,1,0,1,3,2,2,3,0,0,1,1,5,64,65,61,65,80,325,GANO
7195,0,3,3,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2,5,65,51,58,66,69,303,GANO
7196,1,4,2,2,1,1,1,1,1,1,1,0,0,2,2,2,0,0,2,1,5,52,40,46,37,60,225,REGULAR
7197,0,1,3,3,1,1,1,1,1,1,0,0,2,1,0,3,0,0,1,2,4,52,54,51,40,43,244,REGULAR
7199,0,5,2,3,1,1,1,1,1,1,0,1,3,1,1,3,0,0,1,2,5,59,56,51,53,78,283,GANO
7203,0,4,1,3,1,1,1,1,1,1,0,0,0,1,2,3,0,0,1,2,5,60,64,63,59,54,305,GANO
7204,0,4,2,3,1,1,1,1,1,1,0,0,2,1,1,2,0,0,1,2,1,56,62,64,59,62,302,GANO
7205,0,5,2,3,1,1,1,1,1,1,0,1,3,1,4,2,0,0,1,1,5,64,65,61,55,78,313,GANO
7206,0,5,2,4,1,1,1,1,1,1,0,1,2,2,2,3,0,1,1,2,5,64,66,62,64,76,325,GANO
7207,0,3,2,3,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,2,5,49,46,49,36,41,223,REGULAR
7208,0,3,2,4,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,2,3,50,57,50,45,44,250,REGULAR
7209,0,3,2,2,1,1,1,1,1,0,1,0,1,1,2,2,0,0,1,2,5,63,62,61,66,64,315,GANO
7211,0,2,1,2,1,1,1,1,0,0,0,0,2,0,4,3,0,0,1,2,5,55,47,52,53,44,256,GANO
7212,0,3,1,2,1,1,1,1,1,1,0,0,0,1,4,1,0,0,1,2,5,38,30,33,34,30,167,REGULAR
7213,0,4,2,3,1,1,1,1,1,1,1,0,2,1,4,3,0,0,2,2,5,60,56,56,57,62,288,GANO
7214,0,4,2,3,1,1,1,0,0,1,1,1,2,2,4,2,0,0,2,2,1,49,43,37,33,52,207,REGULAR
7215,0,2,3,6,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,2,1,40,32,36,33,29,174,REGULAR
7216,0,3,2,3,1,1,1,1,1,0,0,0,0,1,3,1,0,0,3,2,1,70,66,63,68,75,337,GANO
7217,0,2,2,3,1,1,1,1,0,0,0,0,2,1,4,0,0,0,1,2,1,71,73,68,68,73,351,GANO
7218,0,4,2,3,1,0,1,1,0,0,0,1,1,1,0,3,0,0,1,2,5,61,69,65,67,56,324,GANO
7219,0,3,2,4,1,1,1,1,0,0,1,0,1,1,0,0,0,0,2,2,1,44,46,45,37,49,217,REGULAR
7220,0,3,2,3,1,1,1,1,0,0,1,0,0,0,4,0,0,0,2,2,1,48,51,46,33,48,224,REGULAR
7221,0,3,2,4,1,1,1,1,1,1,1,1,1,1,0,2,0,0,1,2,5,59,67,60,59,81,314,GANO
7222,0,3,2,3,1,1,1,1,1,1,0,0,0,0,4,0,0,1,1,1,5,59,55,51,55,76,283,GANO
7223,0,4,2,3,1,1,1,1,1,1,1,0,0,1,4,0,0,0,2,2,1,42,44,48,49,49,230,REGULAR
7225,0,5,2,3,1,1,1,1,1,1,0,1,1,2,4,3,0,0,1,1,5,68,71,65,60,76,334,GANO
7226,0,4,1,2,1,1,1,1,0,0,0,0,0,1,4,3,0,0,2,2,1,55,57,55,34,48,250,REGULAR
7227,0,5,2,4,1,1,0,1,1,1,0,0,0,1,2,3,0,1,1,2,5,59,60,60,58,73,302,GANO
7229,0,3,2,2,1,1,1,1,1,1,0,1,0,2,4,3,0,1,1,2,5,72,65,68,73,76,350,GANO
7230,0,2,2,3,1,1,0,1,1,1,1,0,0,1,4,1,1,0,1,2,3,52,45,49,46,37,236,REGULAR
7231,0,5,4,6,1,1,1,1,1,1,0,1,3,1,0,2,0,0,1,2,5,72,83,72,81,80,386,GANO
7232,0,2,4,6,1,1,1,1,1,1,1,1,2,2,1,3,0,0,1,2,1,66,68,57,45,53,293,GANO
