FAMI_ESTRATOVIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENESERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENEAUTOMOVIL;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONINTERNET;COLE_BILINGUE;COLE_JORNADA;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PUNT_INGLES;PUNT_GLOBAL;CALIFICACION
4;1;1;1;1;1;1;2;2;3;0;1;49;54;49;47;60;253;0
2;1;1;1;1;1;0;3;1;3;0;1;65;82;70;67;74;356;0
5;1;1;1;1;1;1;3;2;3;0;5;71;69;71;67;76;350;0
3;1;1;1;1;1;1;2;1;2;0;5;62;74;68;66;76;341;0
2;1;1;1;0;0;1;3;2;2;0;1;74;66;62;63;76;335;0
6;1;1;1;1;1;1;2;1;3;1;5;68;77;73;71;81;365;0
2;1;1;1;1;0;1;1;1;1;0;1;50;57;54;50;54;264;0
4;1;1;1;1;1;1;2;1;2;0;5;68;76;71;68;72;354;0
5;1;1;1;1;1;1;2;2;3;0;5;76;79;72;71;86;377;0
3;1;1;1;1;1;1;0;2;3;0;1;55;59;56;41;47;262;0
3;1;1;1;1;1;0;3;1;2;0;1;64;50;54;50;62;275;0
0;1;0;0;0;0;0;2;1;0;0;3;30;29;40;36;35;169;2
5;1;1;1;1;1;1;0;1;1;1;5;61;61;58;53;77;298;0
6;1;1;1;1;1;1;3;2;2;1;5;72;66;52;44;76;299;0
5;1;1;1;1;1;1;1;2;2;0;5;69;53;52;65;77;305;0
5;1;1;1;1;1;0;1;1;3;1;5;69;70;62;55;81;327;0
6;1;1;1;1;1;1;2;1;3;1;5;74;58;60;57;79;318;0
4;1;1;1;1;1;1;2;1;3;0;5;78;73;67;70;81;363;0
2;1;1;1;1;0;0;0;1;3;0;1;61;57;55;42;60;271;0
2;1;1;1;1;1;0;0;0;3;0;1;54;66;60;56;58;295;0
3;1;0;1;1;0;0;0;1;2;0;1;74;77;73;76;75;375;0
3;1;1;1;1;1;1;0;2;1;0;1;69;60;56;59;57;303;0
6;1;1;1;1;1;1;2;2;3;1;5;61;69;61;55;77;313;0
6;1;1;1;1;1;0;3;2;1;1;5;64;64;69;80;86;353;0
6;1;1;1;1;1;1;2;2;2;1;5;65;72;59;58;82;325;0
6;1;1;1;1;1;1;1;2;2;1;5;65;69;62;60;83;327;0
6;1;0;1;1;1;1;2;0;3;0;5;71;79;78;75;86;383;0
6;1;1;1;1;1;1;1;2;2;0;5;74;78;79;82;82;393;0
5;1;1;1;1;1;1;2;1;3;0;5;72;82;79;75;86;388;0
4;1;1;0;1;1;0;2;2;1;0;1;55;50;55;49;62;265;0
3;1;0;1;1;0;0;1;1;3;0;1;66;64;63;67;63;324;0
3;1;1;1;1;1;1;3;1;3;0;5;55;56;54;58;67;283;0
5;1;1;1;1;1;1;3;2;3;1;1;71;71;69;62;78;345;0
3;1;1;1;1;1;1;2;1;2;0;1;38;27;35;31;31;163;2
5;1;1;1;1;1;1;3;0;2;0;5;67;80;67;63;83;352;0
5;1;1;1;1;1;1;2;0;2;1;5;50;62;58;53;100;296;0
6;1;1;1;1;1;1;3;2;1;0;5;56;68;62;55;77;308;0
4;1;0;1;0;1;0;0;1;3;0;1;63;62;71;66;70;329;0
4;1;1;1;1;1;1;2;1;3;0;1;73;72;72;68;77;358;0
3;1;1;1;1;1;1;1;1;1;0;1;70;78;70;70;78;362;0
4;1;1;1;1;1;1;1;2;2;0;5;60;69;67;57;73;320;0
4;1;1;1;1;1;1;2;1;0;0;5;63;63;58;66;58;311;0
4;1;1;1;1;1;1;2;1;0;0;5;62;53;52;53;63;278;0
3;1;1;1;1;1;1;2;1;3;0;1;65;64;62;60;66;315;0
4;1;1;1;1;1;0;1;1;2;0;5;61;65;64;63;73;320;0
3;1;1;1;1;0;0;2;0;3;0;1;59;61;58;60;78;305;0
6;1;1;1;1;1;1;2;1;4;1;5;59;57;56;56;83;295;0
6;1;1;1;1;1;1;2;1;1;1;5;62;67;61;55;82;314;0
5;1;1;1;1;1;1;2;1;2;0;5;57;54;49;48;70;267;0
6;1;1;1;1;1;1;2;2;1;1;5;74;74;64;73;82;360;0
6;1;1;1;1;1;1;3;1;3;1;5;65;68;64;61;79;328;0
5;1;1;1;1;1;0;3;0;1;0;5;70;55;65;75;71;333;0
3;1;1;1;0;0;0;1;1;2;0;5;64;54;50;52;57;276;0
3;1;1;1;0;1;1;0;2;3;0;1;58;51;57;51;66;276;0
2;1;1;1;1;1;0;2;0;2;0;0;76;66;68;79;86;367;0
3;1;1;1;1;1;1;1;1;3;0;1;64;66;64;60;73;321;0
5;1;1;1;1;1;1;1;1;2;1;5;60;63;54;57;75;299;0
4;1;1;1;1;1;1;2;1;3;0;5;59;54;53;49;67;274;0
5;1;1;1;1;1;0;2;0;1;1;5;70;68;64;68;88;345;0
6;1;1;1;1;1;1;3;1;3;0;5;72;72;64;63;84;345;0
3;1;1;1;1;0;0;3;1;3;0;1;72;73;72;75;86;370;0
2;1;1;1;1;1;1;0;1;1;0;1;72;62;70;70;74;345;0
6;1;1;1;1;1;1;2;1;2;1;5;75;71;67;59;85;347;0
4;1;1;1;1;1;1;2;1;3;0;5;75;62;67;66;86;345;0
6;1;1;1;1;1;1;2;0;3;1;5;67;72;71;81;82;367;0
6;1;1;1;1;1;1;3;2;3;1;5;71;79;76;66;85;370;0
4;1;1;1;1;1;1;2;2;3;0;2;49;41;46;43;45;224;2
4;1;1;1;1;1;1;1;1;3;1;5;61;63;57;51;82;299;0
4;1;1;1;1;1;1;2;1;2;0;5;68;67;70;71;85;351;0
3;1;1;1;1;1;1;0;1;2;0;1;68;67;60;65;57;322;0
3;1;1;1;1;1;1;2;2;3;0;1;50;64;61;48;78;287;0
2;1;1;0;0;0;1;0;1;2;0;1;55;41;51;58;55;258;0
5;1;1;1;1;1;1;1;2;3;0;5;57;38;33;62;71;247;2
6;1;1;1;1;1;1;2;2;3;1;5;72;72;66;72;82;357;0
6;1;1;1;1;1;0;3;1;3;1;5;75;83;76;79;87;395;0
6;1;1;1;1;1;1;3;2;3;1;5;76;74;74;76;80;377;0
5;1;1;1;1;1;1;3;2;2;1;5;76;68;68;74;100;368;0
4;1;1;1;1;1;0;2;1;2;1;5;62;64;59;60;81;314;0
6;1;1;1;1;1;1;2;1;3;1;5;60;69;58;55;84;312;0
6;1;1;1;1;1;1;2;1;2;1;5;74;74;68;74;81;366;0
4;1;0;1;1;0;1;0;0;1;1;5;64;67;62;63;84;328;0
6;1;1;1;1;1;1;3;1;3;1;5;73;79;71;66;85;366;0
4;1;1;1;1;1;0;2;0;3;0;5;66;64;71;67;67;335;0
5;1;1;1;1;1;1;1;1;1;0;5;53;52;53;48;55;259;0
3;1;1;1;1;1;1;2;1;1;0;5;58;58;58;44;50;271;0
4;1;1;1;1;0;1;2;2;3;0;5;71;75;69;58;68;341;0
4;1;1;1;1;1;1;1;0;3;0;5;63;64;56;58;72;306;0
3;1;1;1;1;1;1;3;2;2;0;5;66;63;61;64;72;321;0
4;1;1;1;1;1;1;0;2;3;0;5;58;53;52;55;63;276;0
3;1;1;1;1;1;1;1;2;3;0;1;69;66;64;64;80;334;0
3;1;1;0;0;0;0;2;0;2;0;5;63;71;65;67;60;330;0
2;1;1;1;1;1;0;1;1;2;0;1;71;67;72;74;82;359;0
5;1;1;1;1;1;1;2;1;3;1;1;79;100;73;77;100;418;0
5;1;1;1;1;1;1;2;1;3;1;1;69;71;65;69;75;345;0
4;1;1;1;1;1;1;1;1;2;1;1;100;82;78;71;85;415;0
5;1;1;1;1;1;0;3;2;3;1;1;58;71;59;61;73;315;0
